victim_id,name,age,gender,occupation,education,income,district,police_station,phone,address
VI00031,Ekaja Singhal,27,Male,Police,Graduate,182289,Bidar,Bidar Rural,+912165024238,"H.No. 40, Bose Chowk, Kanpur-298502"
VI00032,Atharv Pal,29,Male,Doctor,PUC,322558,Bengaluru Urban,Koramangala,0667148533,"14, Nadig Chowk, Rohtak-298249"
VI00033,Naksh Ahluwalia,55,Female,Teacher,Graduate,1145015,Bengaluru Urban,Ashok Nagar,+918815208952,"80, Dugar Zila, Medininagar 250507"
VI00034,Laban Mallick,42,Male,Student,Secondary,1032201,Vijayapura,Vijayapura Town,9139430325,"49, Doshi Marg, Kishanganj 844037"
VI00035,Isha Kurian,40,Female,Farmer,Secondary,423783,Mandya,Mandya East,+919994285803,"64/14, Sabharwal Circle, Warangal-850504"
VI00036,Hitesh Natt,23,Female,Doctor,PUC,200554,Haveri,Haveri Rural,0518237721,"44, Singhal Road, Tezpur 171740"
VI00037,Sai Kunda,35,Female,Unemployed,PUC,885587,Mysuru,Vijayanagar,06884865737,"66/60, Deshmukh Chowk, Singrauli 047412"
VI00038,Hitesh Agarwal,20,Male,Farmer,Primary,381609,Bengaluru Rural,Bengaluru Rural Rural,+916893825289,"H.No. 39, Patla Ganj, Rewa 269577"
VI00039,Kevin Sani,55,Male,Business,Graduate,998514,Dakshina Kannada,Kankanady,08480316367,"H.No. 24, Bhavsar Circle, Sonipat 764298"
VI00040,Thomas Apte,36,Female,Teacher,Graduate,1047496,Shivamogga,Shivamogga East,+919539526088,"987, Mannan Ganj, Tiruchirappalli 499747"
VI00041,Anita Suri,61,Female,Business,Secondary,1122258,Tumakuru,Tumakuru East,+917704990967,"H.No. 65, Srinivas, Muzaffarpur 103405"
VI00042,Samesh Ratti,18,Female,Teacher,Graduate,692780,Dharwad,Dharwad Town,9108041756,"H.No. 721, Toor Circle, Malda 699165"
VI00043,Pratyush Kata,65,Male,Electrician,Post Graduate,335746,Bagalkot,Bagalkot East,03411048578,"H.No. 265, Dutta Chowk, Begusarai-912789"
VI00044,Nitesh Kuruvilla,54,Male,Electrician,PUC,423949,Kolar,Kolar Town,9196084158,"730, Kala Road, Erode 185596"
VI00045,Anthony Tailor,37,Male,Driver,Graduate,572785,Belagavi,Tilakwadi,+916944814400,"H.No. 756, Dixit Nagar, Bhilai 640797"
VI00046,Nirja Viswanathan,64,Male,Student,PUC,633312,Dharwad,Dharwad East,2288542734,"92/51, Srinivasan, Bulandshahr 547587"
VI00047,Veda Bhavsar,35,Female,Teacher,Graduate,231941,Chikkamagaluru,Chikkamagaluru East,+915392590677,"601, Mann Chowk, Jaipur 025600"
VI00048,Jai Iyer,25,Male,Doctor,Post Graduate,1010290,Kalaburagi,Kalaburagi Town,+916677527071,"71/76, Nanda Ganj, Bulandshahr-272990"
VI00049,Shivansh Vala,45,Male,Business,Primary,502683,Dakshina Kannada,Barke,1767622702,"163, Bhavsar, Sasaram 647256"
VI00050,Barkha Rajagopalan,30,Female,Police,Secondary,180502,Belagavi,Camp,08203690615,"26/134, Sinha Nagar, Tiruchirappalli 206676"
VI00051,Ekantika Mangat,18,Male,Student,Primary,277841,Davanagere,Davanagere Rural,0532421694,"286, Shukla Zila, Ambarnath-380573"
VI00052,Jack Kapoor,53,Female,Student,PUC,995794,Bagalkot,Bagalkot Town,07886455526,"H.No. 070, Pau Path, Bangalore 295086"
VI00053,Amara Mann,55,Male,Doctor,Primary,157043,Hassan,Hassan Town,+912359989625,"35, Bakshi Marg, Yamunanagar-551517"
VI00054,Janani Borra,54,Male,Farmer,PUC,399793,Kalaburagi,Kalaburagi East,3784953127,"H.No. 58, Bhatti Nagar, Bhusawal-134616"
VI00055,Krisha Bose,19,Male,Mechanic,Post Graduate,469329,Dharwad,Dharwad Town,02653222470,"H.No. 481, Savant Street, Tadepalligudem 089437"
VI00056,Jagdish Deshpande,26,Female,Student,Graduate,1114335,Udupi,Udupi Town,08179300805,"80/814, Hans Nagar, Ichalkaranji 508105"
VI00057,Timothy Om,57,Male,Mechanic,Primary,856401,Ramanagara,Ramanagara East,8699021311,"46/02, Dyal Zila, Chinsurah-642812"
VI00058,Ranveer Ranganathan,23,Female,Electrician,PUC,964760,Chitradurga,Chitradurga East,+910749884959,"09, Acharya Street, Rajahmundry 465657"
VI00059,Oni Raman,21,Male,Doctor,Post Graduate,731603,Chikkaballapur,Chikkaballapur Town,07813049950,"96/41, Madan Marg, Thane 295322"
VI00060,Arin Sodhi,33,Female,Farmer,Primary,662373,Mysuru,Vijayanagar,+914876412613,"45, Ranganathan Circle, Dibrugarh 583934"
VI00061,Zarna Kanda,23,Male,Labour,Primary,817608,Yadgir,Yadgir Rural,04427885988,"H.No. 696, Raj Path, Mangalore 962762"
VI00062,Wriddhish Sachdeva,56,Female,Unemployed,PUC,841485,Belagavi,Market,3127534183,"78/022, Badami Circle, Malda 106294"
VI00063,Andrew Deol,66,Female,Business,Primary,546597,Kalaburagi,Kalaburagi Town,6944735341,"10/32, Dasgupta Ganj, Purnia 906674"
VI00064,Vasatika Deshpande,69,Male,Farmer,PUC,576672,Mandya,Mandya Rural,+911104083843,"01, Sekhon Circle, Fatehpur-334225"
VI00065,Upkaar Dayal,35,Female,Mechanic,Primary,1086331,Dakshina Kannada,Pandeshwar,+914257772774,"50/218, Padmanabhan Circle, Tiruchirappalli 484603"
VI00066,Ranveer Wali,54,Female,Teacher,Post Graduate,723231,Dakshina Kannada,Barke,+919687884204,"98/358, Mukhopadhyay, Fatehpur-693928"
VI00067,Wyatt De,45,Female,Business,Primary,350258,Uttara Kannada,Uttara Kannada Rural,0254616794,"78/189, Saraf Circle, Vijayanagaram-395945"
VI00068,Dhruv Contractor,26,Female,Police,Primary,442089,Ballari,Ballari East,8572350194,"79, Devan Marg, Thiruvananthapuram-549977"
VI00069,Varenya Dube,23,Male,Business,Secondary,1086878,Raichur,Raichur East,+910081001428,"06/25, Nagy Zila, North Dumdum-149096"
VI00070,Guneet Atwal,18,Male,Mechanic,Secondary,220633,Koppal,Koppal Rural,8004587242,"49/665, Mishra Street, Varanasi-171972"
VI00071,Devansh Gole,50,Male,Electrician,PUC,831074,Kalaburagi,Kalaburagi Rural,3433536757,"34, Rama Street, Katihar-503104"
VI00072,George Kunda,47,Male,Software Engineer,Secondary,1013158,Vijayapura,Vijayapura Town,+917712806199,"H.No. 66, Tank Marg, Bhalswa Jahangir Pur 171243"
VI00073,Madhavi Sampath,32,Female,Electrician,Primary,167660,Chitradurga,Chitradurga Town,3032536952,"76/73, Anne Path, Karaikudi 072839"
VI00074,Triya Raju,28,Male,Labour,Secondary,846287,Chitradurga,Chitradurga Town,06126149936,"62/75, Misra Marg, Rajahmundry-951956"
VI00075,Teerth Babu,25,Female,Farmer,Secondary,836532,Bengaluru Rural,Bengaluru Rural East,+916362105164,"70/48, Chana Zila, Bharatpur 739652"
VI00076,Nihal Nadig,19,Female,Police,Graduate,389960,Davanagere,Davanagere East,8677705548,"H.No. 299, Char Marg, Jalna 700293"
VI00077,Henry Kala,21,Female,Doctor,Secondary,609408,Vijayapura,Vijayapura Town,+916893746021,"84/15, Subramaniam Chowk, Bhavnagar-842519"
VI00078,Odika Chada,45,Female,Driver,Primary,328788,Ballari,Ballari Rural,06558922355,"70/63, Dora Nagar, Motihari-933528"
VI00079,Widisha Chawla,33,Male,Electrician,Primary,212127,Bengaluru Urban,Yelahanka,03596472684,"45, Bandi Path, Saharanpur-101850"
VI00080,Varsha Mutti,65,Male,Student,Secondary,1045936,Belagavi,Market,04505810580,"86/79, Lad Chowk, Panchkula 193788"
VI00081,Krisha Hari,23,Male,Driver,PUC,934882,Belagavi,Tilakwadi,04653334774,"792, Sani Street, Ambala-915023"
VI00082,Bina Jhaveri,65,Female,Mechanic,PUC,620576,Bagalkot,Bagalkot Rural,7345052194,"04/726, Sridhar Nagar, Ujjain 459773"
VI00083,Krishna Babu,66,Female,Teacher,Graduate,246476,Yadgir,Yadgir East,8591981747,"53, Sastry, Loni-489557"
VI00084,Yash Chowdhury,59,Male,Business,Graduate,1028626,Vijayapura,Vijayapura Rural,9844496163,"H.No. 74, Sood Chowk, Alwar 721238"
VI00085,Yutika Shah,37,Female,Driver,Primary,334785,Chikkaballapur,Chikkaballapur East,05619189875,"83/22, Baria, Allahabad 905451"
VI00086,Victor Raghavan,18,Female,Electrician,Secondary,798287,Dakshina Kannada,Pandeshwar,08540591934,"H.No. 62, Chauhan Chowk, Maheshtala 306533"
VI00087,Robert Pillay,34,Male,Software Engineer,Post Graduate,1034695,Haveri,Haveri Town,7598096282,"H.No. 878, Nanda Chowk, Dibrugarh 737630"
VI00088,Tamanna Kanda,44,Male,Business,PUC,362980,Belagavi,Tilakwadi,8366609797,"H.No. 044, Batra Path, Kolhapur 290107"
VI00089,Qabil Divan,26,Female,Police,Secondary,976783,Ramanagara,Ramanagara East,05278254630,"15/671, Shanker Zila, Imphal 987245"
VI00090,Triveni Banerjee,50,Female,Mechanic,Graduate,886273,Hassan,Hassan Town,8407553805,"H.No. 97, Sarkar Street, Udupi-070513"
VI00091,Nilima Sagar,68,Female,Business,Secondary,728943,Vijayanagara,Vijayanagara East,02128156838,"785, Sengupta Ganj, Gorakhpur-924137"
VI00092,Varenya Khurana,46,Female,Labour,Graduate,715313,Belagavi,Market,+916390858306,"81, Savant Marg, Davanagere 656067"
VI00093,Kamya Palla,36,Female,Electrician,Primary,484797,Tumakuru,Tumakuru East,5735410577,"H.No. 402, Walia Path, Indore-587235"
VI00094,Yahvi Manne,58,Male,Software Engineer,Primary,226544,Kolar,Kolar Town,07208024104,"H.No. 749, Dada Ganj, Nadiad 816115"
VI00095,Lavanya Sarkar,69,Female,Labour,Post Graduate,1163705,Gadag,Gadag Town,+913404750004,"H.No. 892, Sridhar Street, Machilipatnam 649493"
VI00096,Rajeshri Pall,26,Male,Software Engineer,PUC,589300,Chitradurga,Chitradurga Town,8036383647,"H.No. 55, Chatterjee Circle, Agra-351424"
VI00097,Niharika Ratti,37,Female,Unemployed,Graduate,469522,Chitradurga,Chitradurga Town,3900045398,"88/672, Chawla Path, Hyderabad 170998"
VI00098,Shivansh Borah,27,Male,Software Engineer,Graduate,680113,Yadgir,Yadgir Town,00981668813,"84/691, Char Street, Meerut 645466"
VI00099,Kala Sarna,66,Female,Business,PUC,688502,Koppal,Koppal East,+911253612769,"295, More Chowk, Parbhani-080989"
VI00100,Jagdish Shukla,19,Female,Police,PUC,743609,Kolar,Kolar Town,+913157160426,"H.No. 71, Natarajan Marg, Bilaspur 152644"
VI00101,Xiti Dhar,67,Male,Farmer,Post Graduate,1184016,Mandya,Mandya Town,6945419137,"87/62, Gulati Nagar, Raiganj 965242"
VI00102,Omaja Agate,52,Male,Labour,Secondary,1122238,Shivamogga,Shivamogga Town,7414644026,"H.No. 34, Nanda Street, Mau 183262"
VI00103,Sarthak Walla,60,Female,Student,PUC,622587,Chikkaballapur,Chikkaballapur Town,01551095425,"H.No. 05, Thakur Marg, Sasaram-820727"
VI00104,Matthew Raman,55,Female,Labour,Post Graduate,524908,Dakshina Kannada,Kankanady,+913402937813,"27, Kohli Ganj, Alappuzha-776746"
VI00105,Yashawini Trivedi,51,Female,Doctor,Graduate,198652,Ramanagara,Ramanagara Town,+919468774929,"93/13, Suresh Marg, Shimla 668490"
VI00106,Victor Ravel,34,Male,Software Engineer,Primary,361301,Dharwad,Dharwad Rural,6783203161,"79, Om Nagar, Barasat-388333"
VI00107,Eiravati Char,23,Male,Software Engineer,PUC,561195,Ballari,Ballari Town,0166480236,"H.No. 938, Pau Circle, Madurai-543978"
VI00108,Jagvi Sundaram,23,Male,Student,Primary,398436,Mysuru,Lashkar,+914159106608,"650, Ranganathan Road, Ajmer-224789"
VI00109,Maanav Nayar,21,Female,Doctor,Post Graduate,1038949,Raichur,Raichur Rural,+918261350621,"H.No. 157, Taneja, Tenali 981099"
VI00110,Irya Gour,49,Male,Farmer,Post Graduate,957509,Bagalkot,Bagalkot Town,08665083681,"H.No. 407, Sinha Ganj, Meerut-143903"
VI00111,Mohammed Bal,30,Male,Driver,Secondary,370273,Ballari,Ballari Town,+915626070247,"79/888, Garg, Ahmednagar 738152"
VI00112,Sarthak Ghose,53,Male,Farmer,Primary,728861,Koppal,Koppal Rural,+919725401493,"H.No. 43, Toor Zila, Bijapur 947800"
VI00113,Oscar Madan,31,Female,Electrician,Primary,654788,Ballari,Ballari Town,03669837555,"H.No. 83, Tailor Circle, Agra 770990"
VI00114,Jack Sawhney,49,Male,Doctor,Graduate,1020194,Bengaluru Rural,Bengaluru Rural East,+911135980433,"H.No. 69, Lalla Marg, Bhiwandi-146019"
VI00115,Sathvik Narain,24,Female,Business,PUC,256804,Ballari,Ballari East,+910622609316,"63, Dada Ganj, Bareilly 082310"
VI00116,Vaishnavi Chada,34,Male,Doctor,PUC,1128655,Ramanagara,Ramanagara East,7199457405,"H.No. 819, Ahluwalia Nagar, Haridwar 352635"
VI00117,Gagan Sodhi,39,Female,Driver,Primary,311567,Udupi,Udupi East,03524130228,"H.No. 066, Sampath Path, Gulbarga-923577"
VI00118,Bhavna Bumb,39,Male,Software Engineer,Post Graduate,497390,Chamarajanagar,Chamarajanagar Rural,4905717532,"99/752, Dara Marg, Hajipur-898916"
VI00119,Hardik Sood,19,Female,Business,Post Graduate,1080381,Raichur,Raichur Town,+915111424124,"H.No. 67, Borde Ganj, Raiganj 741906"
VI00120,Ekani Mukherjee,18,Female,Business,Graduate,267939,Kalaburagi,Kalaburagi East,00857034011,"H.No. 706, Jhaveri Zila, Raipur-273831"
VI00121,Suhani Gaba,47,Male,Mechanic,Primary,1044963,Raichur,Raichur Town,+913579656400,"54/260, Dixit Chowk, Aurangabad 643424"
VI00122,Jason Kulkarni,62,Male,Doctor,Graduate,474279,Bagalkot,Bagalkot East,05466248223,"H.No. 21, Sami Zila, Silchar 389515"
VI00123,Wazir Mallick,61,Female,Teacher,Graduate,1178464,Bengaluru Urban,Indiranagar,6652174645,"H.No. 649, Andra Path, Visakhapatnam-411371"
VI00124,Bina Sandal,52,Male,Electrician,PUC,625392,Shivamogga,Shivamogga Town,3107890786,"60/188, Atwal Ganj, Aligarh 447473"
VI00125,Amara Kapoor,44,Male,Driver,Secondary,751454,Ballari,Ballari Rural,09736970168,"H.No. 31, Nagarajan Chowk, Rohtak 937011"
VI00126,Mitali Sem,61,Female,Software Engineer,Graduate,1199627,Kodagu,Kodagu Town,00952905509,"28/18, Sekhon Road, Pali 806399"
VI00127,Bhavna Bose,28,Female,Police,PUC,557171,Ballari,Ballari Town,01195406278,"83, Das Zila, Kochi 959282"
VI00128,Shaurya Khurana,31,Female,Business,Secondary,404891,Tumakuru,Tumakuru Town,+912567725038,"H.No. 627, Lal Zila, Jhansi 277323"
VI00129,Vyanjana Kaul,20,Female,Doctor,Graduate,889060,Dharwad,Dharwad East,7421420942,"37/41, Trivedi Path, Amritsar 250592"
VI00130,Upkaar Agate,34,Female,Police,Graduate,191781,Uttara Kannada,Uttara Kannada Rural,5587799364,"795, Dixit Chowk, Saharsa-612921"
VI00131,Ekani Chawla,61,Female,Farmer,Graduate,398290,Dharwad,Dharwad Rural,+911330107535,"H.No. 69, Vohra Road, Vasai-Virar 322232"
VI00132,Veda Krish,41,Male,Farmer,PUC,265172,Chikkaballapur,Chikkaballapur East,5709439137,"78/37, Gara, Kamarhati 682260"
VI00133,Shaurya Sekhon,44,Female,Business,Graduate,302462,Ramanagara,Ramanagara Town,+915193178449,"747, Dasgupta Ganj, Rajahmundry-704946"
VI00134,Damini Peri,18,Male,Student,PUC,247351,Bagalkot,Bagalkot Rural,04077005355,"H.No. 81, Vaidya Zila, Miryalaguda-938502"
VI00135,Vyanjana Srivastava,51,Female,Business,PUC,594347,Yadgir,Yadgir East,8258753715,"H.No. 533, Sehgal Nagar, Eluru-670633"
VI00136,Harish Biswas,62,Male,Doctor,Post Graduate,615843,Raichur,Raichur East,6119553093,"13/403, Tailor Chowk, Kirari Suleman Nagar-379306"
VI00137,Laksh Behl,36,Female,Labour,Primary,612192,Kolar,Kolar Town,+914582072162,"42/468, Sridhar Road, Siliguri 506529"
VI00138,Gautami Kanda,37,Male,Unemployed,Graduate,306435,Bagalkot,Bagalkot Town,07912072095,"550, Chaudhary Circle, Panvel-456578"
VI00139,Sanya Lall,38,Male,Driver,Secondary,361673,Udupi,Udupi Town,02054051556,"H.No. 920, Ramesh Zila, Satna-001341"
VI00140,Bahadurjit Palla,42,Female,Unemployed,PUC,963977,Davanagere,Davanagere Town,8067091446,"40/00, Memon Nagar, Lucknow 645497"
VI00141,Siddharth Merchant,43,Male,Student,Post Graduate,842049,Raichur,Raichur Rural,8752560489,"62, Sawhney Path, Allahabad-380795"
VI00142,Gaurav Tripathi,53,Male,Farmer,Primary,833360,Chikkaballapur,Chikkaballapur Rural,+912165250815,"H.No. 31, Bains Path, Madurai 416477"
VI00143,Ranbir Chaudhuri,66,Female,Electrician,Graduate,694371,Bagalkot,Bagalkot Town,0323197670,"H.No. 61, Uppal Marg, Jalna-696458"
VI00144,Zayan Morar,49,Female,Farmer,PUC,1140817,Shivamogga,Shivamogga Town,+918328113724,"92/975, Chanda, Dewas 009465"
VI00145,Nidhi Keer,39,Female,Unemployed,Primary,436923,Chikkaballapur,Chikkaballapur East,2488780737,"49, Jha Chowk, Bettiah-534251"
VI00146,Suhani Das,46,Female,Software Engineer,Primary,430989,Kodagu,Kodagu Town,02897476766,"91/919, Patla Ganj, Nadiad-259931"
VI00147,Radhika Taneja,41,Female,Labour,Primary,865896,Chikkaballapur,Chikkaballapur East,+918567591056,"04, Sehgal Road, Ongole-405770"
VI00148,Janya Badami,27,Female,Police,Primary,1118590,Davanagere,Davanagere Rural,1554494099,"H.No. 25, Kalita Marg, Rampur 845557"
VI00149,Nimrat Kade,64,Female,Driver,Secondary,769993,Bidar,Bidar Town,+915420509530,"72, Dhar Circle, Pali-887089"
VI00150,Nakul Sandhu,45,Female,Teacher,Graduate,1120092,Tumakuru,Tumakuru Rural,00366980276,"29/43, Batra Path, Ongole 165377"
VI00151,Aahana Dewan,20,Female,Farmer,Graduate,363376,Hassan,Hassan Town,07164919163,"H.No. 725, Goda, Vadodara-691569"
VI00152,David Srinivasan,31,Male,Labour,Graduate,406907,Bagalkot,Bagalkot Rural,8230700813,"90/237, Kata Road, Bhiwani-494180"
VI00153,Ladli Pandey,69,Female,Police,Graduate,632093,Davanagere,Davanagere Rural,9112946403,"28/79, Lall Zila, Raurkela Industrial Township 112033"
VI00154,Jhalak Rajan,64,Male,Student,Primary,1170633,Haveri,Haveri East,06942394383,"42/884, Kibe Marg, Nangloi Jat-485030"
VI00155,Saumya Soman,32,Male,Business,Graduate,771819,Dakshina Kannada,Barke,+911793162505,"679, Dhingra, Farrukhabad 726877"
VI00156,Yashvi Vyas,37,Female,Unemployed,Graduate,529726,Udupi,Udupi Town,4912867287,"86, Chacko, Durg-762969"
VI00157,Dipta Goswami,28,Male,Software Engineer,PUC,977173,Dharwad,Dharwad Town,4157318020,"H.No. 10, Chaudry Chowk, Guntur 337026"
VI00158,Raksha Wadhwa,27,Female,Business,Post Graduate,779685,Mysuru,Devaraja,+914963550193,"H.No. 101, Vaidya Path, Uluberia 731370"
VI00159,Dominic Shenoy,44,Female,Teacher,Secondary,171570,Ballari,Ballari Rural,09317560730,"73/733, Srivastava, Gwalior-149262"
VI00160,Nakul Dutta,42,Male,Business,Graduate,291762,Hassan,Hassan East,4006138654,"H.No. 251, Krish Road, Hosur-471180"
VI00161,Chavvi Nori,31,Female,Student,Post Graduate,990720,Uttara Kannada,Uttara Kannada East,+911531195960,"93, Talwar Road, Medininagar-605485"
VI00162,Mason Nadig,62,Male,Software Engineer,Post Graduate,412941,Haveri,Haveri Rural,05042246406,"H.No. 754, Vasa Zila, Panchkula 114881"
VI00163,Christopher Pillay,45,Female,Doctor,Primary,1002360,Chamarajanagar,Chamarajanagar East,0197557082,"86/504, Mann Road, Dewas-294267"
VI00164,Darsh Pal,62,Male,Teacher,Post Graduate,974986,Vijayapura,Vijayapura East,+911513786268,"H.No. 424, Roy Zila, Durg 076817"
VI00165,Chaitanya Sanghvi,32,Male,Driver,PUC,927029,Kolar,Kolar East,1436597239,"10, Krishnamurthy Path, Jaunpur-500760"
VI00166,Tanvi Pall,34,Male,Software Engineer,Primary,453647,Shivamogga,Shivamogga Town,+918007784284,"61, Sangha Circle, Ongole 667219"
VI00167,Peter Kaul,54,Female,Unemployed,Primary,836548,Haveri,Haveri Town,09143092152,"59/783, Sami Ganj, Parbhani-891205"
VI00168,Bhavini Shroff,45,Female,Driver,PUC,552342,Koppal,Koppal Rural,6988012256,"36/10, Zacharia Circle, Jalgaon-701620"
VI00169,Wridesh Shankar,44,Female,Driver,Graduate,1198977,Mysuru,Lashkar,+913559591516,"H.No. 662, Ravi, Hosur-360253"
VI00170,Yochana Sura,49,Female,Software Engineer,PUC,482996,Koppal,Koppal Rural,+912092254508,"40/97, Sheth Circle, Karaikudi 183410"
VI00171,Aayush Sarkar,55,Male,Student,Post Graduate,694571,Gadag,Gadag Town,05848439300,"H.No. 356, Walla Nagar, Agra 493759"
VI00172,Bhavani Mandal,48,Male,Mechanic,Secondary,1105130,Bengaluru Urban,Electronic City,09058304702,"764, Comar Path, Kolkata-501985"
VI00173,Falguni Misra,29,Male,Unemployed,Secondary,517926,Ramanagara,Ramanagara Town,03880842740,"28/50, Gade Chowk, Satna-205285"
VI00174,Ekaja Pingle,27,Female,Farmer,Primary,307310,Yadgir,Yadgir East,+911352471178,"H.No. 513, Dara, Chandigarh-514120"
VI00175,Waida Kuruvilla,41,Female,Mechanic,Post Graduate,403109,Udupi,Udupi Rural,0451569933,"92, Lanka Marg, Kamarhati-930925"
VI00176,Samar Bava,24,Female,Business,Primary,767669,Yadgir,Yadgir Rural,00563607124,"39, Chadha Road, Satara 936694"
VI00177,Raagini Mishra,52,Female,Farmer,PUC,712466,Bidar,Bidar East,+916531459456,"H.No. 895, Memon Zila, Muzaffarpur 879897"
VI00178,Vedant Khatri,43,Male,Driver,PUC,518514,Udupi,Udupi East,0230423338,"96/025, Dube Nagar, Pune-004386"
VI00179,Pushti Varma,45,Male,Student,Post Graduate,525749,Yadgir,Yadgir Town,07072602757,"680, Jha Path, Jammu-882330"
VI00180,Ayushman Chander,29,Female,Doctor,Post Graduate,179180,Bidar,Bidar Town,9824770751,"H.No. 098, Guha Marg, Jaunpur-816896"
VI00181,Akshay Radhakrishnan,29,Female,Teacher,Graduate,312387,Bengaluru Rural,Bengaluru Rural Rural,08812790425,"58, Sami Nagar, Hospet-241997"
VI00182,Abhiram Kalla,52,Male,Farmer,Graduate,1124238,Ballari,Ballari Rural,+910808348098,"H.No. 87, Basu Circle, Deoghar 346586"
VI00183,Krishna Ram,31,Male,Mechanic,Secondary,1084592,Vijayapura,Vijayapura Town,+912131806664,"99/743, Wali Nagar, Miryalaguda 378253"
VI00184,Hredhaan Date,39,Male,Driver,PUC,565832,Vijayapura,Vijayapura Town,08870415578,"73/142, Sridhar Zila, Munger 479944"
