criminal_id,name,age,gender,occupation,gang,previous_cases,risk_score,phone,district,police_station
CR00034,Joshua Handa,22,Male,Labour,Cyber Ring,13,100,06299468044,Bagalkot,Bagalkot Town
CR00035,Qushi Nagy,45,Male,Driver,Cyber Ring,11,100,07738721489,Kodagu,Kodagu Town
CR00036,Girik Keer,31,Male,Police,None,11,100,4332003791,Vijayapura,Vijayapura Rural
CR00037,Oeshi Hayer,57,Male,Student,Cyber Ring,11,100,6763201632,Vijayapura,Vijayapura Rural
CR00038,Chandresh Krish,65,Female,Mechanic,Highway Gang,5,87,+917278895798,Bagalkot,Bagalkot Town
CR00039,Sanaya Dutt,24,Female,Driver,South Syndicate,8,100,7743487347,Tumakuru,Tumakuru East
CR00040,Bhavika Keer,40,Female,Student,South Syndicate,7,100,05581223623,Udupi,Udupi Rural
CR00041,Oeshi Reddy,35,Male,Teacher,South Syndicate,0,51,08760366909,Dharwad,Dharwad Rural
CR00042,Vansha Ahuja,25,Female,Business,Cyber Ring,12,100,04668893734,Dakshina Kannada,Pandeshwar
CR00043,Vedika Balakrishnan,40,Female,Mechanic,None,1,31,05627298069,Koppal,Koppal Rural
CR00044,Fiyaz Sangha,20,Female,Driver,Cyber Ring,12,100,+917204653755,Chamarajanagar,Chamarajanagar Rural
CR00045,Arunima Sama,39,Female,Police,Highway Gang,11,100,01708053100,Belagavi,Market
CR00046,Ryan Bahri,44,Female,Mechanic,Cyber Ring,9,100,2327193745,Chitradurga,Chitradurga East
CR00047,Ishwar Gade,42,Male,Doctor,South Syndicate,4,81,01904966319,Gadag,Gadag East
CR00048,Harsh Mitra,37,Female,Student,Cyber Ring,12,100,9190586518,Udupi,Udupi Town
CR00049,Advik Salvi,61,Male,Labour,Highway Gang,10,100,01657262849,Hassan,Hassan Rural
CR00050,Udyati Sarin,60,Female,Farmer,None,5,67,9453147379,Chitradurga,Chitradurga East
CR00051,Gayathri Balakrishnan,27,Male,Driver,South Syndicate,9,100,05273545494,Tumakuru,Tumakuru Town
CR00052,Zansi Halder,47,Female,Police,Cyber Ring,15,100,+913678377701,Uttara Kannada,Uttara Kannada Town
CR00053,Timothy Ravel,27,Male,Farmer,Highway Gang,12,100,3495788568,Dharwad,Dharwad Town
CR00054,Indira Setty,51,Female,Driver,South Syndicate,7,100,04431351823,Tumakuru,Tumakuru East
CR00055,Veda Malhotra,60,Female,Electrician,Highway Gang,3,77,9894134352,Bengaluru Urban,Whitefield
CR00056,Akshay Walla,46,Female,Student,South Syndicate,14,100,+914008427109,Ramanagara,Ramanagara Rural
CR00057,Upasna Srinivas,22,Female,Student,South Syndicate,15,100,05204711671,Chikkamagaluru,Chikkamagaluru Rural
CR00058,Max Dixit,23,Male,Business,East Crew,10,100,4131869993,Vijayapura,Vijayapura East
CR00059,Shravya Savant,22,Female,Mechanic,South Syndicate,12,100,09649909133,Raichur,Raichur Town
CR00060,Finn Dugar,44,Female,Doctor,Highway Gang,14,100,+912812067974,Ballari,Ballari Town
CR00061,Vincent Mani,37,Female,Mechanic,Highway Gang,12,100,4713493618,Bagalkot,Bagalkot Rural
CR00062,Manthan Lata,49,Male,Mechanic,South Syndicate,15,100,+911024994717,Chikkamagaluru,Chikkamagaluru Rural
CR00063,Neha Magar,26,Male,Mechanic,South Syndicate,12,100,8771906594,Udupi,Udupi Rural
CR00064,Gavin Karnik,29,Male,Teacher,Highway Gang,2,68,9904902787,Bengaluru Urban,Whitefield
CR00065,Pratyush Sarin,39,Female,Teacher,South Syndicate,10,100,7175655125,Hassan,Hassan Rural
CR00066,Warhi Mani,65,Male,Software Engineer,None,8,91,6807154516,Haveri,Haveri Town
CR00067,Turvi Sachdev,33,Male,Driver,None,2,40,+913859770348,Shivamogga,Shivamogga Town
CR00068,Bhavna Sarma,25,Male,Electrician,South Syndicate,7,100,7109324808,Haveri,Haveri East
CR00069,Girik Kar,65,Male,Business,South Syndicate,11,100,+917127484677,Koppal,Koppal East
CR00070,Tanmayi Dhillon,54,Female,Mechanic,Cyber Ring,3,70,03982146584,Bagalkot,Bagalkot Rural
CR00071,Barkha Misra,33,Male,Unemployed,Cyber Ring,2,65,9727875588,Raichur,Raichur East
CR00072,Tamanna Nagy,40,Female,Police,Cyber Ring,3,75,+913963605766,Tumakuru,Tumakuru Town
CR00073,Warhi Bansal,18,Female,Electrician,Cyber Ring,2,59,+918951718702,Mandya,Mandya Rural
CR00074,Mohammed Borde,63,Male,Mechanic,East Crew,13,100,04596158657,Mandya,Mandya Rural
CR00075,Ekapad Keer,48,Female,Mechanic,Cyber Ring,8,100,4316117240,Tumakuru,Tumakuru East
CR00076,Ekta Bhalla,35,Female,Student,South Syndicate,10,100,05562386922,Udupi,Udupi Town
CR00077,Farhan Raja,38,Male,Electrician,East Crew,12,100,3792374740,Bagalkot,Bagalkot Rural
CR00078,Bhavna Dugar,56,Female,Labour,East Crew,11,100,+917594647436,Dakshina Kannada,Barke
CR00079,Hredhaan Khalsa,44,Female,Labour,None,6,75,09594406409,Chikkaballapur,Chikkaballapur East
CR00080,Watika Mangat,23,Female,Student,Highway Gang,15,100,+919533942104,Hassan,Hassan Town
CR00081,Bahadurjit Patla,48,Female,Mechanic,East Crew,7,100,2145623285,Mysuru,Lashkar
CR00082,Nitesh Kurian,34,Male,Farmer,Highway Gang,11,100,04517123685,Chikkamagaluru,Chikkamagaluru Rural
CR00083,Megha Atwal,62,Male,Student,None,10,100,08175496513,Ramanagara,Ramanagara East
CR00084,Aryan Narang,51,Female,Farmer,East Crew,15,100,3174612004,Ramanagara,Ramanagara East
CR00085,Jack Chatterjee,37,Male,Unemployed,South Syndicate,9,100,+918267586926,Davanagere,Davanagere Town
CR00086,Vrishti Reddy,36,Male,Police,None,8,99,00537735158,Ballari,Ballari East
CR00087,Darsh Rao,48,Female,Electrician,None,3,54,03171390053,Kolar,Kolar Rural
CR00088,Samesh Biswas,25,Male,Mechanic,None,5,75,3933529042,Chikkamagaluru,Chikkamagaluru Rural
CR00089,Zashil Ghosh,21,Male,Business,Cyber Ring,2,65,+910205395024,Mandya,Mandya East
CR00090,Jonathan Sama,44,Male,Labour,South Syndicate,2,68,1177589178,Bengaluru Rural,Bengaluru Rural East
CR00091,Caleb Verma,45,Female,Doctor,Highway Gang,14,100,07007661771,Chitradurga,Chitradurga East
CR00092,Ekanta Divan,34,Male,Business,South Syndicate,3,71,+912499856984,Mandya,Mandya Town
CR00093,Yashasvi Sani,18,Female,Electrician,Cyber Ring,5,95,+911836736576,Belagavi,Camp
CR00094,Girish Munshi,63,Female,Unemployed,None,9,100,05452711116,Chikkaballapur,Chikkaballapur Rural
CR00095,Kashish De,58,Male,Mechanic,South Syndicate,2,59,0988516560,Vijayanagara,Vijayanagara Rural
CR00096,Devika Pandey,27,Male,Driver,South Syndicate,7,100,+919832731585,Vijayanagara,Vijayanagara Rural
CR00097,Arya Kara,36,Female,Farmer,Cyber Ring,9,100,08998094024,Ramanagara,Ramanagara East
CR00098,Harinakshi Panchal,50,Female,Electrician,Highway Gang,9,100,+912296120183,Yadgir,Yadgir Rural
CR00099,Oni Setty,56,Female,Driver,Highway Gang,1,50,02545991022,Ramanagara,Ramanagara Rural
CR00100,Finn Magar,61,Female,Doctor,Cyber Ring,7,97,06797643815,Kolar,Kolar Town
CR00101,Indrajit Mander,46,Female,Business,Highway Gang,5,93,9784036900,Kalaburagi,Kalaburagi East
CR00102,Charvi Kakar,44,Female,Software Engineer,None,15,100,+914451076226,Haveri,Haveri Rural
CR00103,Xiti Pandya,49,Female,Police,East Crew,5,92,+916060715969,Gadag,Gadag East
CR00104,Omisha Mann,34,Female,Farmer,Highway Gang,1,60,+916052975161,Belagavi,Tilakwadi
CR00105,Rajata Rattan,21,Male,Labour,Cyber Ring,0,51,1645352181,Hassan,Hassan Rural
CR00106,Ikshita Panchal,31,Female,Labour,Highway Gang,15,100,2312432921,Shivamogga,Shivamogga Town
CR00107,Wakeeta Shetty,49,Male,Driver,Highway Gang,9,100,9799552717,Vijayapura,Vijayapura East
CR00108,Chavvi Maharaj,53,Female,Farmer,East Crew,5,87,0581477005,Kodagu,Kodagu Town
CR00109,Faraj Chana,59,Male,Electrician,Highway Gang,3,73,9867980793,Yadgir,Yadgir Town
CR00110,Vamakshi Thaker,48,Male,Electrician,Highway Gang,8,100,+910715182037,Udupi,Udupi Rural
CR00111,Nathan Patla,50,Male,Farmer,South Syndicate,12,100,04665905151,Vijayanagara,Vijayanagara East
CR00112,Bhanumati Krishnan,35,Male,Teacher,East Crew,13,100,9251925462,Vijayanagara,Vijayanagara East
CR00113,Dayita Puri,48,Female,Software Engineer,South Syndicate,15,100,5281685054,Hassan,Hassan East
CR00114,Tanish Om,62,Male,Doctor,East Crew,14,100,03322141888,Uttara Kannada,Uttara Kannada Town
CR00115,Gayathri Deep,65,Female,Unemployed,Highway Gang,7,100,6222927065,Ballari,Ballari Rural
CR00116,Sachi Mane,26,Female,Farmer,South Syndicate,12,100,7383473597,Haveri,Haveri Town
CR00117,Baghyawati Raja,18,Male,Mechanic,Cyber Ring,3,68,8623924075,Vijayanagara,Vijayanagara Rural
CR00118,Zaitra Dash,39,Female,Police,Highway Gang,2,58,01247826137,Tumakuru,Tumakuru Rural
CR00119,Avi Sachdeva,58,Female,Labour,Cyber Ring,10,100,+916853615305,Dharwad,Dharwad Rural
CR00120,Gautami Dhingra,36,Male,Unemployed,South Syndicate,2,58,+910472779010,Mandya,Mandya East
CR00121,Tanveer Doctor,63,Male,Electrician,None,13,100,9861434103,Shivamogga,Shivamogga East
CR00122,Tanvi Bhatnagar,21,Female,Software Engineer,None,9,100,+917980893246,Ballari,Ballari Rural
CR00123,Ira Khosla,44,Male,Business,South Syndicate,13,100,6218518888,Chikkaballapur,Chikkaballapur East
CR00124,Madhavi Singhal,57,Male,Electrician,Cyber Ring,2,60,+916540515319,Uttara Kannada,Uttara Kannada Rural
CR00125,Kiaan Basu,47,Female,Police,Highway Gang,7,96,08527722170,Mandya,Mandya Rural
CR00126,Saksham Bassi,22,Female,Software Engineer,East Crew,14,100,+910548687403,Mysuru,Vijayanagar
CR00127,Ishanvi Batta,30,Female,Electrician,East Crew,13,100,5415667652,Hassan,Hassan Rural
CR00128,Widisha Pillai,54,Female,Unemployed,Highway Gang,7,100,4161692845,Kolar,Kolar Rural
CR00129,Fariq Narang,54,Male,Doctor,Highway Gang,0,55,4479627570,Chikkamagaluru,Chikkamagaluru Town
CR00130,Radhika Maharaj,32,Male,Doctor,South Syndicate,9,100,0165820297,Koppal,Koppal Rural
CR00131,Jonathan Bhavsar,59,Male,Teacher,None,4,66,+915569092755,Vijayapura,Vijayapura East
CR00132,Faraj Devan,26,Male,Teacher,Cyber Ring,1,58,5654310278,Davanagere,Davanagere East
CR00133,Jacob Lala,52,Female,Labour,South Syndicate,13,100,07394731217,Chamarajanagar,Chamarajanagar Town
CR00134,Sai Chahal,36,Female,Farmer,East Crew,5,94,5518844225,Vijayanagara,Vijayanagara Rural
CR00135,Jairaj Iyer,61,Female,Labour,South Syndicate,2,67,+913705895782,Shivamogga,Shivamogga Town
CR00136,Dominic More,52,Male,Electrician,Highway Gang,2,67,07866912517,Bagalkot,Bagalkot Rural
CR00137,Zansi Padmanabhan,41,Male,Police,Cyber Ring,8,100,+918922680182,Dharwad,Dharwad East
CR00138,Nitesh Edwin,38,Male,Police,None,15,100,03584143842,Koppal,Koppal East
CR00139,Girik Thakkar,25,Male,Driver,East Crew,14,100,2992299590,Mandya,Mandya Rural
CR00140,Finn Bath,33,Male,Mechanic,Highway Gang,9,100,9439690784,Bengaluru Rural,Bengaluru Rural Town
CR00141,Vasudha Konda,65,Male,Mechanic,Cyber Ring,11,100,6471027677,Gadag,Gadag East
CR00142,Harini Dhawan,20,Female,Student,Cyber Ring,15,100,05562588153,Gadag,Gadag Rural
CR00143,Jason Loke,24,Female,Labour,South Syndicate,14,100,03210469632,Uttara Kannada,Uttara Kannada Rural
CR00144,Dhriti Gupta,25,Female,Farmer,Highway Gang,1,54,+917877470168,Chikkamagaluru,Chikkamagaluru Town
CR00145,Wridesh Kale,33,Male,Doctor,None,0,26,5004797480,Tumakuru,Tumakuru Rural
CR00146,Raagini Desai,31,Male,Software Engineer,Cyber Ring,2,60,05650609835,Chamarajanagar,Chamarajanagar East
CR00147,Ethan Raju,26,Female,Business,East Crew,0,43,7849912165,Uttara Kannada,Uttara Kannada Town
CR00148,Jasmit Dhawan,33,Female,Driver,South Syndicate,0,45,+919868000257,Bagalkot,Bagalkot Rural
CR00149,Manthan Varma,51,Male,Unemployed,None,8,86,+915952694958,Bengaluru Urban,Madiwala
CR00150,Chandani Soman,50,Male,Electrician,Highway Gang,15,100,+915516940974,Shivamogga,Shivamogga Rural
CR00151,Charan Srinivasan,59,Male,Driver,Cyber Ring,1,63,+918962309130,Chitradurga,Chitradurga Rural
CR00152,Dipta Sahota,49,Female,Farmer,Highway Gang,12,100,+916368970283,Mysuru,Nazarbad
CR00153,Vanya Vora,26,Female,Doctor,Cyber Ring,10,100,05278585497,Bengaluru Urban,Cubbon Park
CR00154,Yatin Mallick,47,Female,Farmer,Cyber Ring,12,100,4344375758,Kalaburagi,Kalaburagi Rural
CR00155,Bhavna Dara,44,Female,Electrician,Highway Gang,6,100,8665240415,Hassan,Hassan Town
CR00156,Aahana Srinivas,38,Female,Software Engineer,None,13,100,+913848421993,Dakshina Kannada,Barke
CR00157,Chandresh Wali,23,Female,Farmer,None,15,100,+913016571208,Belagavi,Camp
CR00158,Niharika Soni,53,Female,Police,Cyber Ring,4,75,03454019380,Ballari,Ballari East
CR00159,Omisha Goda,45,Male,Teacher,East Crew,13,100,+916724004991,Uttara Kannada,Uttara Kannada East
CR00160,Bhavani Sha,31,Male,Police,None,11,100,8872874315,Kolar,Kolar East
CR00161,Tara Kurian,41,Male,Teacher,None,7,83,2054932966,Davanagere,Davanagere East
CR00162,Gabriel Rattan,57,Male,Doctor,Cyber Ring,13,100,1227530463,Shivamogga,Shivamogga East
CR00163,Amara Narayan,37,Female,Software Engineer,South Syndicate,0,40,09904530174,Chikkamagaluru,Chikkamagaluru East
CR00164,Nidra Thakkar,43,Male,Business,South Syndicate,5,80,4145933272,Kolar,Kolar East
CR00165,Kashvi Sagar,44,Female,Software Engineer,Cyber Ring,2,61,8783391878,Chamarajanagar,Chamarajanagar Rural
CR00166,Faras Choudhury,54,Male,Driver,East Crew,11,100,+918839822587,Ramanagara,Ramanagara Rural
CR00167,Samesh Suresh,23,Female,Electrician,Cyber Ring,5,93,+918707286790,Ballari,Ballari East
CR00168,Darika Bains,35,Male,Labour,Cyber Ring,15,100,04039106518,Hassan,Hassan Rural
CR00169,Ekapad Sodhi,61,Female,Labour,Highway Gang,11,100,+914622656766,Bengaluru Rural,Bengaluru Rural Rural
CR00170,Kiaan Pall,21,Male,Student,South Syndicate,1,57,+912868230047,Dharwad,Dharwad East
CR00171,Ladli Karpe,36,Female,Farmer,South Syndicate,6,88,+917524310690,Shivamogga,Shivamogga Rural
CR00172,Samuel Bhavsar,42,Male,Labour,Highway Gang,15,100,+919079030673,Bidar,Bidar Town
CR00173,Daksh Dey,20,Female,Driver,Highway Gang,2,70,4395995342,Uttara Kannada,Uttara Kannada East
CR00174,Odika Mital,54,Female,Unemployed,East Crew,2,69,00892687056,Kolar,Kolar Rural
CR00175,Omaja Rege,38,Male,Doctor,None,9,100,+914628733427,Dharwad,Dharwad Town
CR00176,Nitara Saha,33,Female,Doctor,None,11,100,8263435175,Gadag,Gadag Town
CR00177,Rayaan Behl,65,Female,Student,Highway Gang,2,66,06990139837,Uttara Kannada,Uttara Kannada Rural
CR00178,Gaurangi Mitter,25,Male,Software Engineer,None,5,71,+913317393638,Kalaburagi,Kalaburagi East
CR00179,Barkha Rai,34,Male,Business,South Syndicate,4,76,08544587717,Bengaluru Rural,Bengaluru Rural Town
CR00180,Samar Prabhakar,49,Female,Doctor,South Syndicate,2,70,06093204899,Yadgir,Yadgir East
CR00181,Chakrika Dua,22,Female,Electrician,East Crew,10,100,+915369378547,Bengaluru Urban,Whitefield
CR00182,Triveni Ganguly,50,Male,Teacher,Cyber Ring,8,100,5228728080,Ballari,Ballari Rural
CR00183,Chanakya Ahuja,36,Male,Police,None,14,100,02312038750,Ballari,Ballari Rural
CR00184,Vinaya Babu,65,Male,Electrician,Highway Gang,12,100,+918860084840,Kolar,Kolar East
CR00185,Praneel Chhabra,27,Male,Electrician,Cyber Ring,10,100,+918233984546,Haveri,Haveri East
CR00186,Kashvi Ravi,29,Male,Student,None,10,100,09334101666,Kalaburagi,Kalaburagi East
CR00187,Daksh Andra,28,Female,Software Engineer,Cyber Ring,14,100,2176591803,Kalaburagi,Kalaburagi East
CR00188,Vaishnavi Madan,61,Male,Police,Highway Gang,12,100,+911489025039,Shivamogga,Shivamogga Rural
CR00189,Mitali Bose,61,Female,Teacher,East Crew,2,64,02939685621,Bengaluru Rural,Bengaluru Rural East
CR00190,Chatresh Chaudhari,60,Male,Software Engineer,East Crew,4,81,03159996504,Belagavi,Market
CR00191,Vritti Kari,23,Female,Labour,South Syndicate,12,100,08662961943,Koppal,Koppal East
CR00192,Fitan Loyal,59,Female,Labour,South Syndicate,10,100,+916265511047,Mysuru,Nazarbad
CR00193,Anamika Chaudry,31,Female,Electrician,East Crew,0,46,+911267888610,Chitradurga,Chitradurga Town
CR00194,Irya Chander,36,Male,Labour,South Syndicate,7,97,9560466183,Bengaluru Urban,Cubbon Park
CR00195,Lajita Gara,27,Male,Business,Cyber Ring,10,100,+914447212646,Bengaluru Urban,Madiwala
CR00196,Veda Bose,61,Male,Electrician,None,14,100,04379937124,Gadag,Gadag Rural
CR00197,Meghana Natarajan,37,Female,Student,South Syndicate,14,100,6575692459,Kodagu,Kodagu Town
CR00198,Varenya Murthy,42,Female,Business,Highway Gang,14,100,+916547935646,Shivamogga,Shivamogga Rural
CR00199,Ishaan Iyengar,48,Female,Labour,East Crew,4,75,8280737416,Ballari,Ballari East
CR00200,Liam Mitter,35,Female,Labour,East Crew,3,68,+914266179796,Belagavi,Camp
CR00201,Balhaar Parsa,46,Female,Driver,None,13,100,8911352909,Yadgir,Yadgir Town
CR00202,Garima Sani,33,Female,Farmer,Highway Gang,1,59,+910143888993,Kalaburagi,Kalaburagi Rural
CR00203,Kavya Raman,63,Female,Business,None,7,80,09825071461,Dakshina Kannada,Pandeshwar
CR00204,Lucky Pall,62,Male,Unemployed,East Crew,1,63,05738757177,Vijayanagara,Vijayanagara Rural
CR00205,Ekalinga Mital,19,Female,Student,Cyber Ring,14,100,+911051238282,Bagalkot,Bagalkot Town
CR00206,Pooja Shere,33,Female,Farmer,None,13,100,+916226609379,Shivamogga,Shivamogga Rural
CR00207,Lopa Agrawal,47,Male,Farmer,Highway Gang,7,100,3341918255,Mandya,Mandya East
CR00208,Tanvi Comar,63,Male,Teacher,Cyber Ring,0,53,07859696915,Kolar,Kolar Town
CR00209,Tanvi Gera,54,Female,Business,Cyber Ring,0,42,4991251341,Davanagere,Davanagere Town
CR00210,Kashvi Dhaliwal,52,Male,Mechanic,None,11,100,6692966278,Yadgir,Yadgir East
CR00211,Ojas Suri,65,Male,Software Engineer,Highway Gang,1,50,02257905072,Davanagere,Davanagere Rural
CR00212,Leena Tiwari,58,Male,Doctor,South Syndicate,11,100,7676772190,Ramanagara,Ramanagara East
CR00213,Brinda Bali,39,Male,Police,None,4,66,03842797881,Davanagere,Davanagere East
CR00214,Amrita Peri,22,Female,Driver,South Syndicate,15,100,0783613407,Tumakuru,Tumakuru Town
CR00215,Ijaya Chahal,20,Female,Teacher,None,6,80,01339596292,Tumakuru,Tumakuru Town
CR00216,Samuel Bhargava,30,Female,Software Engineer,East Crew,15,100,5849825449,Ballari,Ballari East
CR00217,Yoshita Chandran,45,Female,Unemployed,East Crew,10,100,+916042232536,Bengaluru Rural,Bengaluru Rural Rural
CR00218,Lucky Luthra,62,Female,Software Engineer,East Crew,12,100,6671168457,Bidar,Bidar Rural
CR00219,Falak Agate,56,Male,Labour,Highway Gang,2,65,1751863637,Belagavi,Tilakwadi
CR00220,Ekantika Mander,60,Female,Teacher,None,10,100,08929750017,Belagavi,Tilakwadi
CR00221,Jeet Dugar,40,Female,Driver,South Syndicate,13,100,07063242415,Raichur,Raichur Rural
CR00222,Fitan Prabhu,22,Female,Software Engineer,East Crew,13,100,2064361103,Mandya,Mandya Town
CR00223,Faras Deo,61,Female,Driver,South Syndicate,0,44,3870051627,Uttara Kannada,Uttara Kannada East
CR00224,Veer Rajagopal,41,Female,Mechanic,South Syndicate,2,57,+911155426221,Shivamogga,Shivamogga East
CR00225,Nitesh Sarraf,41,Female,Farmer,Highway Gang,4,76,03269731121,Yadgir,Yadgir Rural
CR00226,Indali Sanghvi,35,Male,Farmer,Highway Gang,11,100,02341389994,Dakshina Kannada,Kankanady
CR00227,Charvi Jha,53,Male,Teacher,Highway Gang,5,88,9836403761,Kalaburagi,Kalaburagi Rural
CR00228,Xalak Bobal,62,Female,Student,South Syndicate,14,100,0552696582,Koppal,Koppal Rural
CR00229,Elijah Badal,63,Female,Farmer,None,4,62,1043006848,Hassan,Hassan Town
CR00230,Pallavi Ratti,36,Female,Business,None,11,100,+918892414183,Kodagu,Kodagu East
CR00231,Eta Raman,30,Male,Student,Cyber Ring,11,100,1463031617,Chikkaballapur,Chikkaballapur Town
CR00232,Dayamai Gill,41,Female,Labour,East Crew,0,44,+910202758842,Kodagu,Kodagu East
CR00233,Jonathan Luthra,63,Female,Labour,None,2,49,1056481491,Chitradurga,Chitradurga Rural
CR00234,Tamanna Vaidya,38,Male,Electrician,Cyber Ring,13,100,00792524191,Belagavi,Camp
CR00235,Yashodhara Agate,58,Male,Business,South Syndicate,11,100,+910307562208,Vijayapura,Vijayapura East
CR00236,Udarsh Nagy,37,Male,Business,None,1,38,+916541951802,Kalaburagi,Kalaburagi Town
CR00237,Zaitra Batra,36,Male,Teacher,East Crew,7,100,01744518705,Yadgir,Yadgir East
CR00238,Bishakha Modi,57,Male,Labour,South Syndicate,8,100,9375973832,Mandya,Mandya Rural
CR00239,Nimrat Bajwa,54,Male,Driver,South Syndicate,4,74,+918505064138,Mysuru,Lashkar
CR00240,Oni Swamy,31,Female,Doctor,Cyber Ring,1,48,+912410386571,Chikkamagaluru,Chikkamagaluru East
CR00241,Yashasvi Deol,37,Female,Student,Cyber Ring,15,100,6199062344,Chitradurga,Chitradurga East
CR00242,Maya Narain,21,Male,Electrician,Highway Gang,9,100,07431329121,Belagavi,Market
CR00243,Shivani Shukla,56,Male,Software Engineer,Highway Gang,15,100,06185374741,Chamarajanagar,Chamarajanagar Rural
CR00244,Nakul Modi,50,Male,Software Engineer,Highway Gang,11,100,9035213568,Bengaluru Urban,Koramangala
CR00245,Chandani Lad,33,Male,Farmer,None,14,100,+910678831712,Chikkamagaluru,Chikkamagaluru Rural
CR00246,Advik Bhatia,44,Male,Business,Highway Gang,9,100,+912365199410,Uttara Kannada,Uttara Kannada East
CR00247,Rudra Sawhney,49,Female,Electrician,South Syndicate,10,100,+911510702966,Shivamogga,Shivamogga Town
CR00248,Ayushman Raja,50,Female,Student,None,15,100,6253244720,Belagavi,Tilakwadi
CR00249,Chakrika Tara,49,Female,Teacher,None,11,100,08701462638,Ballari,Ballari Rural
CR00250,Anirudh Raja,64,Female,Mechanic,Highway Gang,3,75,5787598564,Bengaluru Urban,Jayanagar
CR00251,Atharv Nagar,53,Male,Software Engineer,Highway Gang,1,57,3040785932,Ballari,Ballari East
CR00252,Yug Khosla,53,Female,Doctor,Highway Gang,2,59,08039652239,Kalaburagi,Kalaburagi Rural
CR00253,Jagrati Bala,39,Female,Business,None,4,58,5992937842,Dharwad,Dharwad Rural
CR00254,Baljiwan Chana,20,Male,Unemployed,Cyber Ring,12,100,+913930870593,Ballari,Ballari Town
CR00255,Harini Goel,56,Male,Software Engineer,Cyber Ring,15,100,00029218515,Hassan,Hassan Town
CR00256,Harrison Nayar,37,Female,Labour,Highway Gang,5,95,05226752895,Koppal,Koppal East
CR00257,Parth Radhakrishnan,41,Female,Police,Highway Gang,9,100,04220969029,Udupi,Udupi Town
