transaction_id,fir_id,criminal_id,from_account,to_account,amount,transaction_type,suspicious
TR0000063,FIR008578,CR00846,AC1950114238,AC3764748243,245440.66,UPI,False
TR0000064,FIR004339,CR01269,AC4448837372,AC2030440246,137594.53,UPI,False
TR0000065,FIR009662,CR02872,AC4797736279,AC3549737833,108441.04,IMPS,False
TR0000066,FIR006213,CR00335,AC4328315068,AC5881719706,387721.96,Cash,True
TR0000067,FIR000950,CR02289,AC6355444675,AC2804126339,482709.49,UPI,True
TR0000068,FIR002380,CR02527,AC2235831422,AC2763693626,298820.75,RTGS,True
TR0000069,FIR003802,CR02881,AC6701941074,AC3332667401,245578.3,NEFT,False
TR0000070,FIR004787,CR00219,AC6399138617,AC9047761745,178995.73,Cash,False
TR0000071,FIR008012,CR01163,AC3257096170,AC6737709816,300038.21,NEFT,True
TR0000072,FIR006256,CR01960,AC3098819841,AC1250988948,474251.81,Cash,True
TR0000073,FIR003421,CR01805,AC7846661048,AC6870307369,229106.09,UPI,False
TR0000074,FIR000092,CR02064,AC4980013968,AC1222277971,198102.15,NEFT,False
TR0000075,FIR004312,CR00695,AC8404113972,AC4352674325,185258.17,RTGS,False
TR0000076,FIR008867,CR00361,AC7319674146,AC1615428548,381512.11,UPI,True
TR0000077,FIR005594,CR00615,AC6347182872,AC4502662824,159217.9,NEFT,False
TR0000078,FIR007820,CR02867,AC3177421371,AC8342511430,221496.29,IMPS,False
TR0000079,FIR006517,CR00099,AC3461031363,AC4382940414,314890.14,IMPS,True
TR0000080,FIR008210,CR02565,AC5477397343,AC9021941226,51425.94,IMPS,False
TR0000081,FIR008600,CR01702,AC9586409996,AC3572676498,474245.88,IMPS,True
TR0000082,FIR006200,CR01623,AC3903326529,AC8988463759,87548.23,Cash,False
TR0000083,FIR002872,CR02321,AC8917134040,AC4426976137,498561.5,NEFT,True
TR0000084,FIR003038,CR00190,AC4736244980,AC6418706002,485210.27,IMPS,True
TR0000085,FIR003170,CR02026,AC7053718697,AC9950293154,215506.24,Cash,False
TR0000086,FIR003524,CR02909,AC1223930680,AC7580820055,59978.77,UPI,False
TR0000087,FIR007936,CR01731,AC6313364445,AC5214764874,169088.31,IMPS,False
TR0000088,FIR006891,CR01912,AC8111409202,AC2743796345,7037.62,UPI,False
TR0000089,FIR008046,CR02237,AC8966094405,AC9683008703,349042.49,Cash,True
TR0000090,FIR009262,CR00953,AC1087187769,AC8114405625,215695.53,UPI,False
TR0000091,FIR003168,CR02599,AC5858536619,AC5246595030,17535.4,Cash,False
TR0000092,FIR008307,CR02036,AC8182532599,AC8690854898,471700.62,Cash,True
TR0000093,FIR003495,CR01340,AC2492143450,AC8050922016,76253.7,RTGS,False
TR0000094,FIR006520,CR01046,AC1720903492,AC4167215808,228902.36,IMPS,False
TR0000095,FIR003401,CR00939,AC1985790309,AC5616915606,370676.36,IMPS,True
TR0000096,FIR003406,CR02236,AC7722818015,AC5558337953,391739.12,UPI,True
TR0000097,FIR009457,CR01953,AC5846258933,AC7371032963,295198.78,UPI,True
TR0000098,FIR005052,CR01633,AC5627771273,AC3972566953,52127.55,NEFT,False
TR0000099,FIR002326,CR00100,AC7254536902,AC7032817733,143080.85,NEFT,False
TR0000100,FIR002730,CR01926,AC1203046843,AC7292550443,452804.14,Cash,True
TR0000101,FIR006596,CR02942,AC4640538131,AC9983737667,1716.1,NEFT,False
TR0000102,FIR006367,CR02171,AC5619821811,AC2189884557,498423.4,IMPS,True
TR0000103,FIR008627,CR00797,AC6868363550,AC1356271664,256862.78,NEFT,True
TR0000104,FIR006400,CR00817,AC6161994603,AC3402943519,295141.9,UPI,True
TR0000105,FIR006704,CR01228,AC6116854828,AC8040860433,29971.05,NEFT,False
TR0000106,FIR003856,CR00830,AC1811543962,AC8022715368,384431.11,RTGS,True
TR0000107,FIR001874,CR00292,AC1620330719,AC7156318437,360782.56,IMPS,True
TR0000108,FIR004498,CR02275,AC5659564742,AC8640289694,250749.85,IMPS,True
TR0000109,FIR002035,CR01307,AC5030910859,AC8192670217,377904.16,IMPS,True
TR0000110,FIR007242,CR01605,AC2467248562,AC9024067524,327007.43,IMPS,True
TR0000111,FIR008753,CR01184,AC3323554490,AC9165526111,73126.11,IMPS,False
TR0000112,FIR001422,CR00735,AC3242036621,AC3116317039,67207.48,NEFT,False
TR0000113,FIR000169,CR02497,AC8218217921,AC4493145038,34334.94,RTGS,False
TR0000114,FIR008582,CR01467,AC6209192011,AC3857420894,25415.27,UPI,False
TR0000115,FIR008980,CR02221,AC1687583253,AC4141665122,430922.36,IMPS,True
TR0000116,FIR003309,CR01920,AC4366066637,AC3522124593,262764.29,RTGS,True
TR0000117,FIR008776,CR00744,AC3010813082,AC9398861586,175198.45,NEFT,False
TR0000118,FIR007092,CR01246,AC1401044105,AC8311674923,105043.36,RTGS,False
TR0000119,FIR003307,CR02815,AC6480941893,AC4041708604,96547.49,IMPS,False
TR0000120,FIR001763,CR00935,AC3752298269,AC4509145957,92157.41,RTGS,False
TR0000121,FIR005561,CR00879,AC8346031966,AC9815989891,362064.96,IMPS,True
TR0000122,FIR001926,CR01961,AC5649835650,AC2981343415,344119.13,NEFT,True
TR0000123,FIR008523,CR00454,AC5205459051,AC6345277338,466206.76,UPI,True
TR0000124,FIR000721,CR01517,AC5482906231,AC2606365836,369037.07,RTGS,True
TR0000125,FIR007705,CR00422,AC6232634798,AC3699281368,404929.09,RTGS,True
TR0000126,FIR009878,CR01421,AC7839402152,AC5601615974,212400.49,RTGS,False
TR0000127,FIR002862,CR02718,AC7937931164,AC2799183266,446641.64,Cash,True
TR0000128,FIR003957,CR01107,AC6665685206,AC4276134513,138802.63,UPI,False
TR0000129,FIR006924,CR02356,AC5166904427,AC8380811569,260387.59,UPI,True
TR0000130,FIR005474,CR02771,AC4738968325,AC5317620276,113886.13,NEFT,False
TR0000131,FIR005504,CR00960,AC7837862116,AC1414680304,148731.39,IMPS,False
TR0000132,FIR006375,CR00646,AC6000936483,AC4446532567,473749.9,NEFT,True
TR0000133,FIR000653,CR01797,AC2663391813,AC5772809169,382069.09,Cash,True
TR0000134,FIR002421,CR01803,AC7196936602,AC9342333750,297014.72,NEFT,True
TR0000135,FIR006274,CR00684,AC7449965614,AC5453826140,101159.12,IMPS,False
TR0000136,FIR003871,CR00412,AC9271822946,AC7274147291,353285.74,RTGS,True
TR0000137,FIR003885,CR02843,AC8279881781,AC1085754567,78699.72,NEFT,False
TR0000138,FIR002770,CR02072,AC3444240431,AC4545184754,114189.75,UPI,False
TR0000139,FIR005871,CR02542,AC4029083645,AC8759997617,376945.62,IMPS,True
TR0000140,FIR006854,CR01183,AC9422403096,AC5076344319,118280.12,NEFT,False
TR0000141,FIR009760,CR01297,AC9542902311,AC1326554357,42315.33,UPI,False
TR0000142,FIR004333,CR01896,AC9591113465,AC7723620275,276046.33,UPI,True
TR0000143,FIR005316,CR02906,AC8738755518,AC6267984988,194252.64,Cash,False
TR0000144,FIR009099,CR00464,AC8348046764,AC4724352194,416364.84,UPI,True
TR0000145,FIR008099,CR02390,AC5714586326,AC8195711386,274470.59,NEFT,True
TR0000146,FIR009187,CR01175,AC2685217993,AC3545488798,445419.79,UPI,True
TR0000147,FIR008924,CR01088,AC6613224221,AC7360371820,242013.26,IMPS,False
TR0000148,FIR008796,CR00479,AC2426390503,AC5891288077,334321.01,IMPS,True
TR0000149,FIR005438,CR02767,AC7196957287,AC4823923676,466415.44,IMPS,True
TR0000150,FIR006045,CR01192,AC1127923696,AC7222590661,60865.59,IMPS,False
TR0000151,FIR009077,CR00546,AC8271325310,AC7691663447,144840.77,UPI,False
TR0000152,FIR005755,CR01628,AC5608382691,AC7959996800,374349.13,UPI,True
TR0000153,FIR001423,CR00285,AC2793157028,AC6738457470,378696.25,UPI,True
TR0000154,FIR006601,CR01716,AC9479503098,AC2426952486,317546.15,UPI,True
TR0000155,FIR002539,CR01908,AC6643142934,AC9121210228,138728.62,IMPS,False
TR0000156,FIR001164,CR01514,AC9861286395,AC8851627648,256776.36,NEFT,True
TR0000157,FIR007733,CR02505,AC8043468839,AC6148908727,420614.8,UPI,True
TR0000158,FIR009620,CR00905,AC9501930118,AC1494499098,479899.01,Cash,True
TR0000159,FIR002772,CR01979,AC5724762135,AC5907474302,130297.48,IMPS,False
TR0000160,FIR001442,CR00356,AC5001726221,AC6754131449,265310.01,Cash,True
TR0000161,FIR004955,CR01138,AC1831495417,AC3765086219,3945.29,IMPS,False
TR0000162,FIR009433,CR00930,AC6464614077,AC2693089965,231241.7,IMPS,False
TR0000163,FIR006879,CR01608,AC1197746222,AC2690272481,74414.64,IMPS,False
TR0000164,FIR003595,CR02586,AC8364732604,AC1402302158,219779.7,IMPS,False
TR0000165,FIR009788,CR02154,AC4392085839,AC1092364322,282044.16,UPI,True
TR0000166,FIR006418,CR00261,AC8369213579,AC1139779506,272626.25,IMPS,True
TR0000167,FIR002099,CR01289,AC7097191911,AC1076818510,294938.77,NEFT,True
TR0000168,FIR001093,CR01703,AC9680296175,AC6652498736,32631.5,IMPS,False
TR0000169,FIR001487,CR02163,AC3388055068,AC1604740465,451389.77,UPI,True
TR0000170,FIR005347,CR00177,AC8046422896,AC2527202616,256430.45,UPI,True
TR0000171,FIR005667,CR01890,AC2672144014,AC6067025542,227307.74,Cash,False
TR0000172,FIR002820,CR00638,AC1398459967,AC3527570195,446999.6,IMPS,True
TR0000173,FIR008636,CR01880,AC8965426143,AC2043758672,219195.67,IMPS,False
TR0000174,FIR004455,CR01422,AC9061004946,AC9294558957,185728.7,UPI,False
TR0000175,FIR009404,CR01300,AC4529634344,AC7545579091,261372.38,UPI,True
TR0000176,FIR001913,CR02357,AC3267482279,AC2886195047,485223.68,Cash,True
TR0000177,FIR005103,CR02888,AC4562684670,AC6916023470,390989.66,Cash,True
TR0000178,FIR006972,CR01048,AC8584230722,AC3021299127,217106.76,IMPS,False
TR0000179,FIR003267,CR01266,AC8999474026,AC7975887985,89490.82,IMPS,False
TR0000180,FIR008546,CR01665,AC4960390519,AC2130237819,364546.32,IMPS,True
TR0000181,FIR009155,CR00630,AC3559647151,AC2273364830,269729.85,IMPS,True
TR0000182,FIR008861,CR00050,AC4986852507,AC7979541581,179093.13,Cash,False
TR0000183,FIR009188,CR01066,AC2873017629,AC6928734351,35149.25,NEFT,False
TR0000184,FIR001694,CR01679,AC5883573932,AC7380837295,403420.7,RTGS,True
TR0000185,FIR004722,CR00125,AC5578625085,AC1985228646,166468.78,RTGS,False
TR0000186,FIR006477,CR00574,AC9833298226,AC9450687115,100402.15,NEFT,False
TR0000187,FIR001042,CR01607,AC2018000350,AC9573266288,79569.66,NEFT,False
TR0000188,FIR003660,CR01421,AC8712873595,AC5485937019,23838.31,Cash,False
TR0000189,FIR000385,CR01673,AC5740450127,AC2222537117,54878.99,RTGS,False
TR0000190,FIR006412,CR00124,AC8125845706,AC7975004841,472499.16,RTGS,True
TR0000191,FIR009949,CR02792,AC3036917651,AC8631706852,333431.43,RTGS,True
TR0000192,FIR004581,CR00728,AC5832740069,AC3890669427,433336.78,IMPS,True
TR0000193,FIR001486,CR02362,AC2616448429,AC3420845796,228723.16,RTGS,False
TR0000194,FIR003317,CR00136,AC4822773751,AC5244088731,463330.34,RTGS,True
TR0000195,FIR009767,CR00878,AC9865333209,AC8925224884,153260.47,UPI,False
TR0000196,FIR000916,CR01096,AC8544090971,AC1155939106,5346.87,UPI,False
TR0000197,FIR005334,CR00896,AC2319339624,AC8542500309,482527.31,NEFT,True
TR0000198,FIR007767,CR01482,AC7555029337,AC5649455149,420061.38,Cash,True
TR0000199,FIR004597,CR00204,AC6124006532,AC4529010746,160287.71,RTGS,False
TR0000200,FIR006003,CR01671,AC4167361325,AC2136490689,277254.72,NEFT,True
TR0000201,FIR003865,CR02456,AC3039047044,AC3021339422,489984.0,NEFT,True
TR0000202,FIR007372,CR02611,AC4506221631,AC2201048265,432311.21,UPI,True
TR0000203,FIR009531,CR00971,AC9206966710,AC3712437039,253421.95,Cash,True
TR0000204,FIR006923,CR01689,AC8636697266,AC3265043434,346753.24,UPI,True
TR0000205,FIR000422,CR00666,AC7097064591,AC8060097083,237163.83,Cash,False
TR0000206,FIR004050,CR01680,AC9351969100,AC9066162038,10608.78,RTGS,False
TR0000207,FIR003353,CR00210,AC5295640433,AC9731732460,450157.4,UPI,True
TR0000208,FIR000738,CR01712,AC4787636491,AC5110894467,266769.51,UPI,True
TR0000209,FIR007074,CR00197,AC5947976492,AC5035949235,264413.61,Cash,True
TR0000210,FIR004245,CR00271,AC5095911179,AC3591135268,92948.24,Cash,False
TR0000211,FIR004886,CR02275,AC7691841063,AC4792075562,416485.89,IMPS,True
TR0000212,FIR004404,CR02301,AC2322331781,AC2056390377,20545.53,Cash,False
TR0000213,FIR004826,CR02520,AC8925933318,AC6500492635,368026.99,Cash,True
TR0000214,FIR006125,CR00454,AC9743480694,AC7980612122,154688.28,UPI,False
TR0000215,FIR008840,CR00600,AC3567637702,AC1540212555,351860.3,NEFT,True
TR0000216,FIR002711,CR02020,AC1559329741,AC6361763590,31767.09,IMPS,False
TR0000217,FIR000820,CR00490,AC6863972219,AC4988563808,108488.09,IMPS,False
TR0000218,FIR008622,CR02911,AC4507255660,AC3017559680,390794.6,UPI,True
TR0000219,FIR009688,CR01579,AC8783993684,AC6609368154,392076.67,UPI,True
TR0000220,FIR007078,CR00369,AC2819784243,AC5797605598,319645.56,RTGS,True
TR0000221,FIR000173,CR00445,AC7505087112,AC6451211160,363484.01,UPI,True
TR0000222,FIR003807,CR00490,AC6254567611,AC5715307834,213458.92,RTGS,False
TR0000223,FIR006199,CR02058,AC5236563896,AC8028900366,188105.75,IMPS,False
TR0000224,FIR006595,CR01160,AC8591832588,AC3873305624,423217.26,RTGS,True
TR0000225,FIR006498,CR01769,AC9959411550,AC6563772140,164537.51,Cash,False
TR0000226,FIR001669,CR02258,AC5698246341,AC5202486548,7430.34,NEFT,False
TR0000227,FIR005933,CR02264,AC1389218369,AC3734817696,229193.7,IMPS,False
TR0000228,FIR009502,CR01695,AC4004129411,AC1982011314,313061.42,IMPS,True
TR0000229,FIR005120,CR02938,AC7918211172,AC6709467064,258162.21,UPI,True
TR0000230,FIR003162,CR01413,AC1122979561,AC2834565568,45677.49,IMPS,False
TR0000231,FIR002513,CR00708,AC7757214867,AC5062640848,310434.77,RTGS,True
TR0000232,FIR004467,CR02716,AC2551144918,AC2931840957,346820.42,IMPS,True
TR0000233,FIR006279,CR02456,AC8335791949,AC8127652438,150652.69,RTGS,False
TR0000234,FIR004899,CR00555,AC5261049011,AC7794468346,2320.6,IMPS,False
TR0000235,FIR008304,CR01009,AC3226571948,AC4511926544,303395.11,RTGS,True
TR0000236,FIR006922,CR01044,AC2829880342,AC5252130235,398655.74,IMPS,True
TR0000237,FIR000659,CR00195,AC3053628534,AC2455598069,118039.57,IMPS,False
TR0000238,FIR004903,CR01042,AC1982688104,AC2441049631,455468.9,RTGS,True
TR0000239,FIR002523,CR01640,AC5227200216,AC5250956295,408599.76,NEFT,True
TR0000240,FIR008656,CR02325,AC7088345475,AC3543431831,400801.27,RTGS,True
TR0000241,FIR004059,CR01783,AC8072386422,AC5347255649,147653.51,RTGS,False
TR0000242,FIR001420,CR01589,AC6542156964,AC1731500836,431736.58,NEFT,True
TR0000243,FIR002066,CR02418,AC2166115415,AC3428132044,323879.38,Cash,True
TR0000244,FIR003983,CR02276,AC9214797466,AC3259916516,17190.95,Cash,False
TR0000245,FIR005675,CR01492,AC5978040285,AC9288700094,248808.0,Cash,False
TR0000246,FIR002536,CR00712,AC5483924280,AC4275656656,262453.58,UPI,True
TR0000247,FIR003618,CR01533,AC1992296576,AC6612654567,418827.84,IMPS,True
TR0000248,FIR002382,CR02702,AC3684306814,AC3894899709,406648.21,RTGS,True
TR0000249,FIR007167,CR00305,AC3084917571,AC6257726297,179346.37,NEFT,False
TR0000250,FIR002325,CR02191,AC1317563904,AC6894475091,327075.11,RTGS,True
TR0000251,FIR009536,CR00479,AC2971939292,AC9092369324,264286.19,IMPS,True
TR0000252,FIR007403,CR00706,AC2576343434,AC8269946983,263208.15,RTGS,True
TR0000253,FIR003216,CR02733,AC5824407299,AC6059540530,156876.29,Cash,False
TR0000254,FIR005791,CR01180,AC8476266324,AC4211478394,407953.67,UPI,True
TR0000255,FIR001571,CR01842,AC1852077175,AC4864075264,326986.73,NEFT,True
TR0000256,FIR006658,CR00233,AC8125438038,AC5715712267,170805.08,NEFT,False
TR0000257,FIR008006,CR02008,AC1952887356,AC6323368469,265201.7,UPI,True
TR0000258,FIR006979,CR02685,AC7464878858,AC8299148610,358971.63,RTGS,True
TR0000259,FIR001996,CR01568,AC3165038023,AC5727011361,366610.91,NEFT,True
TR0000260,FIR000314,CR01441,AC3016875491,AC9948490256,419804.2,IMPS,True
TR0000261,FIR006058,CR00595,AC5290630503,AC5781623308,58791.51,NEFT,False
TR0000262,FIR002264,CR00515,AC6348624097,AC5303778244,342818.84,IMPS,True
TR0000263,FIR002916,CR01539,AC2041068369,AC2940904592,190281.02,NEFT,False
TR0000264,FIR000382,CR01093,AC1558083472,AC6049696837,464617.98,IMPS,True
TR0000265,FIR006718,CR00077,AC5199502018,AC9056158640,15893.1,RTGS,False
TR0000266,FIR001954,CR02887,AC8209971634,AC9450232374,108836.62,RTGS,False
TR0000267,FIR004431,CR00342,AC2243940817,AC8783917199,477853.84,UPI,True
TR0000268,FIR006418,CR00261,AC5317185173,AC9766258225,81840.85,NEFT,False
TR0000269,FIR006425,CR02353,AC6519650055,AC1244151121,355528.73,Cash,True
TR0000270,FIR005608,CR01771,AC2602190183,AC3611748622,405464.31,Cash,True
TR0000271,FIR004226,CR01233,AC3440765367,AC3776214857,455417.86,Cash,True
TR0000272,FIR002804,CR02475,AC2595613829,AC2097160643,34427.92,IMPS,False
TR0000273,FIR007426,CR00768,AC3795436888,AC2939404229,463740.88,UPI,True
TR0000274,FIR001076,CR01930,AC4706622732,AC3797048816,71822.97,NEFT,False
TR0000275,FIR005065,CR01533,AC1730920637,AC8362766329,301566.87,RTGS,True
TR0000276,FIR007350,CR02525,AC6538715173,AC1689480735,490138.59,Cash,True
TR0000277,FIR004287,CR01780,AC7589495359,AC2843813121,210527.46,Cash,False
TR0000278,FIR001724,CR00201,AC7027414255,AC3875116605,464455.89,UPI,True
TR0000279,FIR000343,CR00329,AC5456402449,AC3100950578,456551.73,NEFT,True
TR0000280,FIR009989,CR01826,AC2059856646,AC7443992985,469164.22,UPI,True
TR0000281,FIR000948,CR02003,AC8471787711,AC5306783007,44799.58,RTGS,False
TR0000282,FIR003449,CR00725,AC5280417033,AC4769584270,64147.0,NEFT,False
TR0000283,FIR006025,CR01395,AC5897173799,AC8636596311,188872.61,RTGS,False
TR0000284,FIR006015,CR00873,AC6500997342,AC7417634944,483099.34,Cash,True
TR0000285,FIR005041,CR01148,AC2469310998,AC6853279094,358109.16,RTGS,True
TR0000286,FIR002186,CR01383,AC7737995173,AC6292117968,328599.86,NEFT,True
TR0000287,FIR007176,CR02682,AC3152989489,AC8017155026,168451.23,UPI,False
TR0000288,FIR007066,CR02542,AC1270208230,AC6842704263,473245.29,IMPS,True
TR0000289,FIR008658,CR02582,AC9626211758,AC6566970069,459029.53,RTGS,True
TR0000290,FIR002554,CR01116,AC4622435131,AC6759382456,108178.61,NEFT,False
TR0000291,FIR001494,CR02287,AC3412023572,AC3809858378,491461.55,NEFT,True
TR0000292,FIR001773,CR02489,AC9175465356,AC6680879402,210921.57,IMPS,False
TR0000293,FIR008481,CR02906,AC4523325607,AC4987073765,212338.34,RTGS,False
TR0000294,FIR002631,CR01610,AC7245876263,AC4712908198,81938.95,UPI,False
TR0000295,FIR003684,CR00530,AC1166426757,AC7110406678,26378.02,RTGS,False
TR0000296,FIR004760,CR02682,AC9919053043,AC7655562089,122241.06,Cash,False
TR0000297,FIR005545,CR00074,AC2903062562,AC5640653982,309746.58,IMPS,True
TR0000298,FIR003590,CR02481,AC3301518803,AC3731416512,200408.83,IMPS,False
TR0000299,FIR003881,CR02386,AC6829582340,AC2480905663,353918.01,UPI,True
TR0000300,FIR005833,CR00986,AC6378909184,AC7111782073,388605.63,NEFT,True
TR0000301,FIR002064,CR00655,AC5041572598,AC3852056543,24908.0,IMPS,False
TR0000302,FIR002510,CR00755,AC8433778468,AC6487441365,46421.51,UPI,False
TR0000303,FIR001096,CR01274,AC4240358374,AC5677615118,20989.44,Cash,False
TR0000304,FIR000200,CR00187,AC8909790201,AC3712967383,461391.77,UPI,True
TR0000305,FIR004980,CR00895,AC7484101396,AC7634275989,13663.25,RTGS,False
TR0000306,FIR000153,CR00173,AC4784684068,AC5932325004,228436.88,UPI,False
TR0000307,FIR006895,CR01699,AC6523557304,AC7038227100,52462.36,IMPS,False
TR0000308,FIR001929,CR00423,AC6430258727,AC1456281551,490275.42,UPI,True
TR0000309,FIR000874,CR02697,AC4424069766,AC5329406513,150159.28,NEFT,False
TR0000310,FIR008163,CR00700,AC1299806783,AC2392248765,336948.72,IMPS,True
TR0000311,FIR008835,CR02010,AC3734412082,AC8447709803,95911.19,UPI,False
TR0000312,FIR008137,CR01937,AC6264305979,AC8311535850,495124.71,IMPS,True
TR0000313,FIR004799,CR00889,AC7349621643,AC2897034378,308661.66,UPI,True
TR0000314,FIR005712,CR00072,AC9492800862,AC4406282076,214679.26,Cash,False
TR0000315,FIR000856,CR00628,AC2469632708,AC9414203607,485983.62,RTGS,True
TR0000316,FIR004330,CR01153,AC3032030917,AC9723223046,135077.54,IMPS,False
TR0000317,FIR007423,CR02509,AC6130573484,AC5960031115,378269.76,IMPS,True
TR0000318,FIR006665,CR02726,AC8800317201,AC5753459443,174254.71,IMPS,False
TR0000319,FIR003438,CR02222,AC2356250399,AC5749719355,299393.98,IMPS,True
TR0000320,FIR007937,CR01552,AC5253422626,AC3135429654,463221.98,NEFT,True
TR0000321,FIR008473,CR02270,AC7035813318,AC7340455176,198873.23,UPI,False
TR0000322,FIR008029,CR01600,AC4362430435,AC3141645384,370924.13,NEFT,True
TR0000323,FIR000582,CR00373,AC6776138938,AC4926900917,341765.46,RTGS,True
TR0000324,FIR006203,CR02676,AC1240505797,AC2370960951,153286.34,Cash,False
TR0000325,FIR004293,CR01410,AC5342056438,AC6222218814,408914.55,IMPS,True
TR0000326,FIR009964,CR01833,AC6436088184,AC3573109071,455735.07,Cash,True
